name,id,format,last_modified
Communicable disease surveillance data 2024,45575e74-2a6e-4165-bf6c-fc1b59795e93,XLSX,2024-09-19
Communicable disease surveillance data 2023,38454ad6-b6f8-4235-9fed-8c10fcde3471,XLSX,2024-07-08
Communicable disease surveillance data 2022,63b62ca8-54de-4acb-8417-9cdf4e795424,XLSX,2024-03-07
Communicable disease surveillance data 2021,8913ee74-798b-4b10-8dfa-6fe754208e3a,XLSX,2024-03-07
Communicable disease surveillance data 2020,cecd5d8e-a5dd-4af0-a5a1-82305721075d,XLSX,2024-03-07
Communicable disease surveillance data 2019,1a302a65-b0ce-4b79-bfa3-510b2f5b2db2,XLSX,2022-03-18
Communicable disease surveillance data 2018,0564bbf2-828c-487c-80b5-c250968210f2,XLSX,2022-03-18
Communicable disease surveillance data 2017,249b423e-bba8-4c31-8a4d-6f97b66eacd2,XLSX,2022-03-18
Communicable disease surveillance data 2016,4208259c-2d01-4b6b-8bbc-85fbb45d70c3,XLSX,2022-03-18
communicable-disease-surveillance-data-readme,9a48093c-21ff-49b7-8cc9-c11df72fa0dc,XLSX,2019-08-15
